"ID","ITEM_TYPE","LOCATION","PREFIX","SEQ_NUM","RESOURCE_TYPE"
1,Microfilm,Any (except music),MFILM N.S.,17796,Microforms
2,Microfiche,Any (except music),MFICHE,3323,Microforms
3,Microcard,Any (except music),MCARD,1046,Microforms
4,Microfilm,Music Library,M/F ,2616,Microforms
5,Microfiche,Music Library,M/F 1:,381,Microforms
6,Videocassette (VHS),Media-Microtext or SAL3,ZVC ,19898,Visual Materials
7,Laser disc,Media-Microtext or SAL3,ZLSR,901,Visual Materials
8,Videocassette (U-Matic) ,Media-Microtext or SAL3,ZVU,142,Visual Materials
9,Videocassette (Serial VHS),Media-Microtext or SAL3,ZVC ,10087,Visual Materials
10,Archival videocassette (VHS or U-Matic) or Film (16 mm.; any length),Media-Microtext or SAL3,ZVA,1911,
11,Videocassette (VHS) ,Language Lab,ZVC ,9096,
12,Videocassette (VHS) ,Science Branches (excluding Branner),ZY2,219,Visual Materials
13,Videocassette (U-Matic) ,Science Branches (excluding Branner),ZY1,3,Visual Materials
14,Videocassette (VHS) ,Music Library,MVC,290,Visual Materials
15,DVD or VCD,Music Library,MVD,51,Visual Materials
16,Videocassette (VHS),Archive of Recorded Sound,AVC,243,Visual Materials
17,Film (16 mm.) (400 ft. reel; 7 in. canister),Media-Microtext or SAL3,ZFLa,105,
18,Film (16 mm.) (1200 ft. reel; 12.25 in. canister),Media-Microtext or SAL3,ZFLc,276,
19,Film (16 mm.) (600 or 800 ft. reels; 9.25 or 10.5 in. canister) ,Media-Microtext or SAL3,ZFLb,206,
20,Film (16 mm.) (1600 or 2000 ft. reel; 13.75 or 15 in. canister) ,Media-Microtext or SAL3,ZFLd,126,
21,Slides,Media-Microtext or SAL3,ZSL,208,Visual Materials
22,Filmstrip,Media-Microtext or SAL3,ZFS,32,Visual Materials
23,Slides,Science Branches (excluding Branner),ZUB,4,Visual Materials
24,Sound recording (compact disc),Media-Microtext or SAL3,ZCD,2966,Sound Recordings
25,Sound recording (audiocassette),Media-Microtext or SAL3,ZCS,1295,Sound Recordings
26,Sound recording (12 in. disc),Media-Microtext or SAL3,ZX,5670,Sound Recordings
27,Sound recording (compact disc),Music Library,MCD,35184,Sound Recordings
28,Sound recording (audiocassette),Music Library,Mtc,125,Sound Recordings
29,Sound recording (12 in. disc),Music Library,MD,12779,Sound Recordings
30,Sound recording (7 in. disc),Music Library,Md7,158,Sound Recordings
31,Sound recording (audio DAT cassette),Music Library,MDAT,3,Sound Recordings
